"infer_dem","infer_rep","infer_engaged","infer_agree","infer_black","infer_religious","infer_abort","infer_welfare","infer_pol","infer_engaged2","infer_agree2","infer_ideo2","vignette_warmth_1","treat_vignette","treat_vignette2","vignette","vignette2","vignette_pid","vignette_pid2","treat_vignette_loyal","rand_policy_branded","rand_policy_unbranded","respondent_pid","FL_149_DO_vignette2_infer","age","gender"
"Slightly likely","Neither likely nor unlikely","A little bit","Sometimes agree, sometimes disagree","Moderately unlikely","Slightly likely","Neither likely nor unlikely","Slightly unlikely","Extremely unlikely","A great deal","Always disagree","Very conservative","20","pid_unbranded","pid_strong_extreme_active","Suppose you meet a person who enjoys watching sports,  works as a personal injury lawyer, and is a Republican. They believe that requiring electricians to have licenses does not improve the quality of their work, and prevents people from joining the profession.","Suppose you meet a man who is from Massachusetts,  listens to country music, and is a Republican. He describes himself as a 'real' Republican. When he talks about Republicans he uses the word 'we.' When someone criticizes Republicans, he feels like they are criticising him. <br><br>He is extremely conservative. He believes that federal taxes and spending should be greatly decreased, and that abortion should be illegal in all circumstances. <br><br>He is highly active in politics. His yard is dotted with lawn signs at election time, he speaks up in town meetings, and he volunteers on many campaigns. ","Republican","Republican","Unlike","same sex couples should not be allowed to adopt children.","requiring electricians to have licenses does not improve the quality of their work, and prevents people from joining the profession.","Dem","1","18","2"
"Moderately likely","Extremely unlikely","A great deal","Sometimes agree, sometimes disagree","Neither likely nor unlikely","Neither likely nor unlikely","Moderately likely","Moderately likely","Extremely likely","A great deal","Usually disagree","Very conservative","36","pid_branded","pid_strong","Suppose you meet a person who listens to rock music,  enjoys watching sports, and is a Democrat. They believe that same sex couples should be allowed to adopt children.","Suppose you meet a man who is from Colorado,  works as a physician's assistant, and is a Republican. He describes himself as a 'real' Republican. When he talks about Republicans he uses the word 'we.' When someone criticizes Republicans, he feels like they are criticising him.","Democrat","Republican","Like","same sex couples should be allowed to adopt children.","mobile phone carriers should be prohibited from selling customers’ data, because this sale is an invasion of privacy.","Dem","2","37","2"
"Slightly likely","Neither likely nor unlikely","A great deal","Sometimes agree, sometimes disagree","Neither likely nor unlikely","Neither likely nor unlikely","Neither likely nor unlikely","Extremely likely","Slightly unlikely","A little bit","Sometimes agree, sometimes disagree","Very conservative","89","pid_unbranded_labeled","pid","Suppose you meet a person who works as a police officer,  is from Colorado, and is a Democrat. Unlike many Democrats, they believe that consumers voluntarily provide data to their mobile phone carriers, and carriers should be allowed to sell this data.","Suppose you meet a man who enjoys watching TV,  listens to rap music, and is a Democrat.","Democrat","Democrat","Unlike","same sex couples should not be allowed to adopt children.","consumers voluntarily provide data to their mobile phone carriers, and carriers should be allowed to sell this data.","Rep","1","18","2"
"Extremely likely","Neither likely nor unlikely","Somewhat","Always disagree","Slightly likely","Slightly likely","Neither likely nor unlikely","Slightly likely","Neither likely nor unlikely","A little bit","Always disagree","Very liberal","3","pid_unbranded","pid_weak","Suppose you meet a person who is from Colorado,  enjoys exercising, and is a Democrat. They believe that consumers voluntarily provide data to their mobile phone carriers, and carriers should be allowed to sell this data.","Suppose you meet a man who listens to country music,  works as a personal injury lawyer, and is a Democrat. He doesn't think the term 'Democrat' describes him very well. When he talks about Democrats he uses the word 'they.' When someone criticizes Democrats, he doesn't feel like they are criticising him.","Democrat","Democrat","Unlike","same sex couples should be allowed to adopt children.","consumers voluntarily provide data to their mobile phone carriers, and carriers should be allowed to sell this data.","Rep","2","19","2"
"Moderately unlikely","Moderately likely","A little bit","Usually agree","Slightly likely","Moderately likely","Neither likely nor unlikely","Slightly unlikely","Moderately likely","Somewhat","Sometimes agree, sometimes disagree","Very liberal","85","pid_unbranded_labeled","pid_strong_extreme_active","Suppose you meet a person who listens to pop music,  enjoys shopping, and is a Republican. Like many Republicans, they believe that the government should never be allowed to seize a citizen’s private land, even if the land is needed for a public project and the owner is fairly compensated.","Suppose you meet a man who is from California,  works as a waiter, and is a Democrat. He describes himself as a 'real' Democrat. When he talks about Democrats he uses the word 'we.' When someone criticizes Democrats, he feels like they are criticising him. <br><br>He is extremely liberal. He believes that federal taxes and spending should be greatly increased, and that abortion should be legal in all circumstances. <br><br>He is highly active in politics. His yard is dotted with lawn signs at election time, he speaks up in town meetings, and he volunteers on many campaigns. ","Republican","Democrat","Like","the federal government should make it more difficult for people to buy a gun.","the government should never be allowed to seize a citizen’s private land, even if the land is needed for a public project and the owner is fairly compensated.","Rep","2","36","1"
"Slightly likely","Moderately likely","Somewhat","Usually agree","Slightly likely","Moderately likely","Slightly likely","Slightly likely","Slightly likely","A great deal","Usually agree","Somewhat conservative","70","pid_unbranded_labeled","pid","Suppose you meet a person who works as an electrician,  listens to country music, and is a Democrat. Like many Democrats, they believe that consumers voluntarily provide data to their mobile phone carriers, and carriers should be allowed to sell this data.","Suppose you meet a man who enjoys cooking,  is from Massachusetts, and is a Democrat.","Democrat","Democrat","Like","same sex couples should be allowed to adopt children.","consumers voluntarily provide data to their mobile phone carriers, and carriers should be allowed to sell this data.","Rep","2","39","1"
"Extremely unlikely","Extremely likely","A great deal","Sometimes agree, sometimes disagree","Neither likely nor unlikely","Extremely likely","Moderately likely","Extremely unlikely","Extremely likely","None at all","Sometimes agree, sometimes disagree","Moderate","49","pid_unbranded","pid_strong_mod_inactive","Suppose you meet a person who works as a waiter,  is from Colorado, and is a Democrat. They believe that the government should never be allowed to seize a citizen’s private land, even if the land is needed for a public project and the owner is fairly compensated.","Suppose you meet a man who listens to rap music,  enjoys cooking, and is a Republican. He describes himself as a 'real' Republican. When he talks about Republicans he uses the word 'we.' When someone criticizes Republicans, he feels like they are criticising him. <br><br>He is moderately conservative. He believes that federal taxes and spending should not be increased, and that abortion should be illegal in some circumstances. <br><br>He is not very active in politics. His yard never has lawn signs at election time, he does not attend town meetings, and he has never volunteered on a campaign. ","Democrat","Republican","Like","same sex couples should be allowed to adopt children.","the government should never be allowed to seize a citizen’s private land, even if the land is needed for a public project and the owner is fairly compensated.","Dem","2","53","2"
"Extremely likely","Extremely unlikely","A little bit","Sometimes agree, sometimes disagree","Neither likely nor unlikely","Neither likely nor unlikely","Neither likely nor unlikely","Neither likely nor unlikely","Neither likely nor unlikely","A little bit","Sometimes agree, sometimes disagree","Moderate","52","pid","pid","Suppose you meet a person who listens to country music,  enjoys exercising, and is a Democrat.","Suppose you meet a man who works as a personal injury lawyer,  is from Ohio, and is a Democrat.","Democrat","Democrat","Like","same sex couples should not be allowed to adopt children.","electricians should be required to have licenses, because poor electrical work can create serious damage and even danger.","Rep","1","19","1"
"Neither likely nor unlikely","Neither likely nor unlikely","Somewhat","Sometimes agree, sometimes disagree","Neither likely nor unlikely","Neither likely nor unlikely","Neither likely nor unlikely","Neither likely nor unlikely","Neither likely nor unlikely","Somewhat","Sometimes agree, sometimes disagree","Moderate","45","pid_branded","pid_weak","Suppose you meet a person who enjoys hunting,  is from South Carolina, and is a Democrat. They believe that the federal government should make it more difficult for people to buy a gun.","Suppose you meet a man who listens to rock music,  works as a personal injury lawyer, and is a Republican. He doesn't think the term 'Republican' describes him very well. When he talks about Republicans he uses the word 'they.' When someone criticizes Republicans, he doesn't feel like they are criticising him.","Democrat","Republican","Unlike","the federal government should make it more difficult for people to buy a gun.","requiring electricians to have licenses does not improve the quality of their work, and prevents people from joining the profession.","Dem","2","19","2"
"Extremely likely","Extremely unlikely","None at all","Usually disagree","Neither likely nor unlikely","Slightly unlikely","Extremely unlikely","Neither likely nor unlikely","Moderately likely","A great deal","Usually disagree","Very liberal","10","pid","pid_strong","Suppose you meet a person who listens to country music,  works as a waiter, and is a Democrat.","Suppose you meet a man who enjoys watching TV,  is from Massachusetts, and is a Democrat. He describes himself as a 'real' Democrat. When he talks about Democrats he uses the word 'we.' When someone criticizes Democrats, he feels like they are criticising him.","Democrat","Democrat","Unlike","same sex couples should be allowed to adopt children.","electricians should be required to have licenses, because poor electrical work can create serious damage and even danger.","Rep","2","63","1"
"Extremely unlikely","Extremely likely","Somewhat","Sometimes agree, sometimes disagree","Neither likely nor unlikely","Neither likely nor unlikely","Neither likely nor unlikely","Moderately unlikely","Extremely likely","A great deal","Usually disagree","Somewhat liberal","60","pid_branded","pid_strong","Suppose you meet a person who is from Massachusetts,  works as an electrician, and is a Democrat. They believe that immigrants brought to the U.S. illegally as children should be sent back to where they came from.","Suppose you meet a man who listens to rock music,  enjoys shopping, and is a Democrat. He describes himself as a 'real' Democrat. When he talks about Democrats he uses the word 'we.' When someone criticizes Democrats, he feels like they are criticising him.","Democrat","Democrat","Unlike","immigrants brought to the U.S. illegally as children should be sent back to where they came from.","the government should never be allowed to seize a citizen’s private land, even if the land is needed for a public project and the owner is fairly compensated.","Rep","2","55","1"
"Moderately unlikely","Moderately unlikely","Somewhat","","Moderately unlikely","Moderately unlikely","Moderately unlikely","Moderately unlikely","Moderately unlikely","Somewhat","Sometimes agree, sometimes disagree","Somewhat conservative","62","pid_unbranded","pid_weak","Suppose you meet a person who listens to rock music,  is from Ohio, and is a Democrat. They believe that the government should never be allowed to seize a citizen’s private land, even if the land is needed for a public project and the owner is fairly compensated.","Suppose you meet a man who works as a waiter,  enjoys exercising, and is a Democrat. He doesn't think the term 'Democrat' describes him very well. When he talks about Democrats he uses the word 'they.' When someone criticizes Democrats, he doesn't feel like they are criticising him.","Democrat","Democrat","Unlike","the federal government should make it more difficult for people to buy a gun.","the government should never be allowed to seize a citizen’s private land, even if the land is needed for a public project and the owner is fairly compensated.","Rep","2","37","2"
"Extremely likely","Extremely unlikely","A little bit","Sometimes agree, sometimes disagree","Moderately likely","Slightly unlikely","Extremely likely","Neither likely nor unlikely","Slightly likely","A little bit","Usually agree","Somewhat liberal","66","pid_unbranded_labeled","pid_strong","Suppose you meet a person who is from Ohio,  listens to rap music, and is a Democrat. Unlike many Democrats, they believe that the government should be able to seize private land if it is needed for a public project and the owner is fairly compensated.","Suppose you meet a man who enjoys watching TV,  works as an electrician, and is a Republican. He describes himself as a 'real' Republican. When he talks about Republicans he uses the word 'we.' When someone criticizes Republicans, he feels like they are criticising him.","Democrat","Republican","Unlike","same sex couples should be allowed to adopt children.","the government should be able to seize private land if it is needed for a public project and the owner is fairly compensated.","Dem","1","30","2"
"Moderately likely","Slightly likely","Somewhat","Sometimes agree, sometimes disagree","Neither likely nor unlikely","Slightly likely","Moderately unlikely","Moderately likely","Slightly likely","Somewhat","Sometimes agree, sometimes disagree","Moderate","70","pid_unbranded_labeled","pid_weak","Suppose you meet a person who is from Colorado,  listens to rock music, and is a Republican. Like many Republicans, they believe that requiring electricians to have licenses does not improve the quality of their work, and prevents people from joining the profession.","Suppose you meet a man who enjoys exercising,  works as a waiter, and is a Democrat. He doesn't think the term 'Democrat' describes him very well. When he talks about Democrats he uses the word 'they.' When someone criticizes Democrats, he doesn't feel like they are criticising him.","Republican","Democrat","Like","the federal government should make it more difficult for people to buy a gun.","requiring electricians to have licenses does not improve the quality of their work, and prevents people from joining the profession.","Rep","1","37","2"
"Slightly likely","Extremely unlikely","A little bit","Usually agree","Extremely unlikely","Slightly likely","Moderately likely","Extremely unlikely","Neither likely nor unlikely","A little bit","Usually agree","Very conservative","62","pid","pid_strong_extreme_active","Suppose you meet a person who listens to pop music,  works as a personal injury lawyer, and is a Republican.","Suppose you meet a man who enjoys watching sports,  is from Massachusetts, and is a Democrat. He describes himself as a 'real' Democrat. When he talks about Democrats he uses the word 'we.' When someone criticizes Democrats, he feels like they are criticising him. <br><br>He is extremely liberal. He believes that federal taxes and spending should be greatly increased, and that abortion should be legal in all circumstances. <br><br>He is highly active in politics. His yard is dotted with lawn signs at election time, he speaks up in town meetings, and he volunteers on many campaigns. ","Republican","Democrat","Like","the federal government should make it easier for people to buy a gun.","electricians should be required to have licenses, because poor electrical work can create serious damage and even danger.","Rep","1","21","2"
"Slightly likely","Neither likely nor unlikely","A little bit","Sometimes agree, sometimes disagree","Moderately likely","Moderately likely","Slightly likely","Moderately likely","Slightly likely","A little bit","Sometimes agree, sometimes disagree","Somewhat liberal","43","pid_unbranded_labeled","pid_strong","Suppose you meet a person who is from South Carolina,  enjoys reading, and is a Republican. Like many Republicans, they believe that the government should never be allowed to seize a citizen’s private land, even if the land is needed for a public project and the owner is fairly compensated.","Suppose you meet a man who works as an electrician,  listens to country music, and is a Democrat. He describes himself as a 'real' Democrat. When he talks about Democrats he uses the word 'we.' When someone criticizes Democrats, he feels like they are criticising him.","Republican","Democrat","Like","same sex couples should not be allowed to adopt children.","the government should never be allowed to seize a citizen’s private land, even if the land is needed for a public project and the owner is fairly compensated.","Rep","1","36","2"
"Extremely unlikely","Extremely likely","Somewhat","Usually agree","Neither likely nor unlikely","Neither likely nor unlikely","Extremely unlikely","Neither likely nor unlikely","Extremely likely","A little bit","Sometimes agree, sometimes disagree","Moderate","89","pid_unbranded_labeled","pid_weak","Suppose you meet a person who is from Colorado,  works as a personal injury lawyer, and is a Republican. Unlike many Republicans, they believe that mobile phone carriers should be prohibited from selling customers’ data, because this sale is an invasion of privacy.","Suppose you meet a man who enjoys exercising,  listens to rock music, and is a Democrat. He doesn't think the term 'Democrat' describes him very well. When he talks about Democrats he uses the word 'they.' When someone criticizes Democrats, he doesn't feel like they are criticising him.","Republican","Democrat","Unlike","immigrants brought to the U.S. illegally as children should be allowed to live and work in the U.S. and eventually become citizens.","mobile phone carriers should be prohibited from selling customers’ data, because this sale is an invasion of privacy.","Rep","2","77","2"
"Slightly likely","Slightly likely","A little bit","Sometimes agree, sometimes disagree","Extremely likely","Extremely likely","Extremely likely","Neither likely nor unlikely","Extremely likely","Somewhat","Sometimes agree, sometimes disagree","Moderate","54","pid_unbranded","pid_strong_mod_inactive","Suppose you meet a person who works as a personal injury lawyer,  enjoys hunting, and is a Republican. They believe that requiring electricians to have licenses does not improve the quality of their work, and prevents people from joining the profession.","Suppose you meet a man who is from Colorado,  listens to pop music, and is a Democrat. He describes himself as a 'real' Democrat. When he talks about Democrats he uses the word 'we.' When someone criticizes Democrats, he feels like they are criticising him. <br><br>He is moderately liberal. He believes that federal taxes and spending should not be decreased, and that abortion should be legal in some circumstances. <br><br>He is not very active in politics. His yard never has lawn signs at election time, he does not attend town meetings, and he has never volunteered on a campaign. ","Republican","Democrat","Like","immigrants brought to the U.S. illegally as children should be sent back to where they came from.","requiring electricians to have licenses does not improve the quality of their work, and prevents people from joining the profession.","Rep","1","23","2"
"Neither likely nor unlikely","Slightly unlikely","A little bit","Sometimes agree, sometimes disagree","Neither likely nor unlikely","Neither likely nor unlikely","Slightly unlikely","Neither likely nor unlikely","Slightly unlikely","Somewhat","Sometimes agree, sometimes disagree","Moderate","59","pid","pid_weak","Suppose you meet a person who is from Massachusetts,  enjoys reading, and is a Democrat.","Suppose you meet a man who listens to country music,  works as a personal injury lawyer, and is a Democrat. He doesn't think the term 'Democrat' describes him very well. When he talks about Democrats he uses the word 'they.' When someone criticizes Democrats, he doesn't feel like they are criticising him.","Democrat","Democrat","Unlike","the federal government should make it more difficult for people to buy a gun.","the government should never be allowed to seize a citizen’s private land, even if the land is needed for a public project and the owner is fairly compensated.","Ind","1","34","2"
"Extremely unlikely","Extremely likely","Somewhat","Sometimes agree, sometimes disagree","Moderately likely","Neither likely nor unlikely","Moderately likely","Slightly unlikely","Extremely unlikely","A little bit","Usually disagree","Somewhat liberal","30","pid","pid_strong_mod_inactive","Suppose you meet a person who works as a police officer,  listens to rap music, and is a Republican.","Suppose you meet a man who enjoys hunting,  is from South Carolina, and is a Democrat. He describes himself as a 'real' Democrat. When he talks about Democrats he uses the word 'we.' When someone criticizes Democrats, he feels like they are criticising him. <br><br>He is moderately liberal. He believes that federal taxes and spending should not be decreased, and that abortion should be legal in some circumstances. <br><br>He is not very active in politics. His yard never has lawn signs at election time, he does not attend town meetings, and he has never volunteered on a campaign. ","Republican","Democrat","Unlike","same sex couples should not be allowed to adopt children.","the government should be able to seize private land if it is needed for a public project and the owner is fairly compensated.","Rep","1","59","2"
"Neither likely nor unlikely","Slightly likely","A little bit","Usually agree","Slightly likely","Moderately likely","Slightly likely","Slightly likely","Moderately likely","Somewhat","Sometimes agree, sometimes disagree","Somewhat conservative","57","pid_unbranded","pid","Suppose you meet a person who is from South Carolina,  enjoys exercising, and is a Republican. They believe that the government should be able to seize private land if it is needed for a public project and the owner is fairly compensated.","Suppose you meet a man who works as a physician's assistant,  listens to rock music, and is a Democrat.","Republican","Democrat","Like","same sex couples should be allowed to adopt children.","the government should be able to seize private land if it is needed for a public project and the owner is fairly compensated.","Rep","2","42","2"
"Slightly unlikely","Slightly likely","None at all","Sometimes agree, sometimes disagree","Slightly unlikely","Slightly unlikely","Moderately likely","Slightly unlikely","Extremely unlikely","A little bit","Usually disagree","Somewhat liberal","48","pid_unbranded_labeled","pid_strong_mod_inactive","Suppose you meet a person who listens to pop music,  is from Massachusetts, and is a Republican. Like many Republicans, they believe that requiring electricians to have licenses does not improve the quality of their work, and prevents people from joining the profession.","Suppose you meet a man who enjoys reading,  works as a police officer, and is a Democrat. He describes himself as a 'real' Democrat. When he talks about Democrats he uses the word 'we.' When someone criticizes Democrats, he feels like they are criticising him. <br><br>He is moderately liberal. He believes that federal taxes and spending should not be decreased, and that abortion should be legal in some circumstances. <br><br>He is not very active in politics. His yard never has lawn signs at election time, he does not attend town meetings, and he has never volunteered on a campaign. ","Republican","Democrat","Like","same sex couples should be allowed to adopt children.","requiring electricians to have licenses does not improve the quality of their work, and prevents people from joining the profession.","Rep","2","48","2"
"Extremely likely","Slightly likely","A little bit","Usually agree","Slightly likely","Extremely likely","Neither likely nor unlikely","Moderately likely","Neither likely nor unlikely","None at all","Usually agree","Somewhat conservative","66","pid_unbranded_labeled","pid","Suppose you meet a person who works as a physician's assistant,  enjoys watching TV, and is a Democrat. Unlike many Democrats, they believe that the government should be able to seize private land if it is needed for a public project and the owner is fairly compensated.","Suppose you meet a man who listens to country music,  is from California, and is a Republican.","Democrat","Republican","Unlike","immigrants brought to the U.S. illegally as children should be allowed to live and work in the U.S. and eventually become citizens.","the government should be able to seize private land if it is needed for a public project and the owner is fairly compensated.","Dem","1","25","2"
"Extremely unlikely","Extremely likely","Somewhat","Sometimes agree, sometimes disagree","Neither likely nor unlikely","Neither likely nor unlikely","Neither likely nor unlikely","Slightly unlikely","Neither likely nor unlikely","A great deal","Usually disagree","Very conservative","20","pid","pid_strong_extreme_active","Suppose you meet a person who listens to pop music,  enjoys cooking, and is a Republican.","Suppose you meet a man who works as a physician's assistant,  is from Ohio, and is a Republican. He describes himself as a 'real' Republican. When he talks about Republicans he uses the word 'we.' When someone criticizes Republicans, he feels like they are criticising him. <br><br>He is extremely conservative. He believes that federal taxes and spending should be greatly decreased, and that abortion should be illegal in all circumstances. <br><br>He is highly active in politics. His yard is dotted with lawn signs at election time, he speaks up in town meetings, and he volunteers on many campaigns. ","Republican","Republican","Like","same sex couples should be allowed to adopt children.","electricians should be required to have licenses, because poor electrical work can create serious damage and even danger.","Dem","2","44","2"
